다발지식별자,다발지그룹식별자,법정동코드,스팟코드,관할경찰서,다발지명,발생건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도
6345574,2017081,1159010700,111911002,서울 서울동작2,서울특별시 동작구 사당동(대림쇼핑센타 부근),4,4,0,2,1,1,126.9467882,37.50557008
6345442,2017081,1162010100,112111001,서울 서울관악1,서울특별시 관악구 봉천동(진아빌리지 부근),7,8,0,5,1,2,126.9363317,37.48629472
6345650,2017081,2717010100,223027003,대구 대구서부3,대구광역시 서구 내당동(대구스포츠사 부근),4,4,0,1,1,2,128.5509857,35.85939561
6345450,2017081,2717010300,223027001,대구 대구서부1,대구광역시 서구 평리동(평리광명네거리 부근),4,4,0,3,1,0,128.5556819,35.8756061
6345476,2017081,4137012100,132441002,경기 화성동부2,경기도 오산시 가수동(대한정형외과앞사거리 부근),6,7,1,1,4,1,127.0629595,37.14969587
6345520,2017081,4139013200,133541001,경기 시흥1,경기도 시흥시 정왕동(정왕동공원A 부근),5,6,0,1,4,1,126.7357127,37.34704955
6345693,2017081,3611025022,161236001,충남 세종1,세종특별자치시 세종특별자치시 조치원읍(- 인근),4,5,1,1,3,0,127.2971949,36.60381617
6345363,2017081,4111113400,130541001,경기 수원중부1,경기도 수원시 장안구 영화동(수성중사거리 부근),5,5,0,4,1,0,127.0097977,37.29275987
6345633,2017081,1162010100,112111002,서울 서울관악2,서울특별시 관악구 봉천동(공사중 부근),6,6,1,2,2,1,126.9497461,37.48156535
6345610,2017081,1162010200,112111003,서울 서울관악3,서울특별시 관악구 신림동(신림역_신림로_진입_1 부근),4,4,0,1,3,0,126.9298838,37.48449196
6345551,2017081,2823710600,231028001,인천 인천삼산1,인천광역시 부평구 갈산동(삼산타운 부근),5,5,0,3,2,0,126.7328517,37.50865578
6345348,2017081,2824510200,230728002,인천 인천계양2,인천광역시 계양구 계산동(교대사거리 부근),4,4,0,4,0,0,126.7246364,37.53826529
6345329,2017081,4157025324,131841001,경기 김포1,경기도 김포시 고촌읍(고촌약국 부근),6,7,0,3,3,1,126.7701531,37.60266448
6345332,2017081,4159011600,132441001,경기 화성동부1,경기도 화성시 진안동(유림자원 부근),7,7,0,4,3,0,127.0402481,37.21453644
6345464,2017081,4111312900,133941001,경기 수원서부1,경기도 수원시 권선구 오목천동(홍성숯불갈비 부근),4,4,0,0,3,1,126.9659741,37.24631469
6345371,2017081,4113110300,130841001,경기 성남수정1,경기도 성남시 수정구 수진동(탄리사거리 부근),8,8,1,4,3,0,127.1346012,37.4419174
6345608,2017081,1165010800,112811001,서울 서울서초1,서울특별시 서초구 서초동(교대역사거리_서초로_진출_1 부근),4,4,0,2,2,0,127.0140159,37.49394421
6345541,2017081,1168010300,112411004,서울 서울강동4,서울특별시 강남구 개포동(둔촌동역 부근),4,4,0,1,2,1,127.1377868,37.52833939
6345640,2017081,2824510200,230728003,인천 인천계양3,인천광역시 계양구 계산동(계산삼거리 부근),4,4,0,3,1,0,126.7230894,37.54336571
6345514,2017081,2824510300,230728001,인천 인천계양1,인천광역시 계양구 작전동(이학갈비 부근),6,6,0,2,2,2,126.7280517,37.53755582
6345498,2017081,4161010100,131441001,경기 광주1,경기도 광주시 경안동(소망치과 부근),5,5,0,4,1,0,127.2581077,37.4098429
6345648,2017081,4161010500,131441002,경기 광주2,경기도 광주시 탄벌동((두진아파트앞) 부근),5,5,0,0,5,0,127.2492995,37.4149579
6345391,2017081,4113310500,133241001,경기 성남중원1,경기도 성남시 중원구 상대원동(상대원시장앞 부근),7,7,0,2,5,0,127.1581771,37.43718174
6345417,2017081,4117310400,131241001,경기 안양동안1,경기도 안양시 동안구 호계동(쵸이스피부과 부근),4,4,0,3,1,0,126.9515385,37.39065286
6345583,2017081,2611012400,120226001,부산 부산중부1,부산광역시 중구 부평동2가(보수사거리 부근),4,5,1,3,1,0,129.0240066,35.10313636
6345400,2017081,2614011800,120426001,부산 부산서부1,부산광역시 서구 토성동5가(해오름껍데기 부근),7,7,0,5,2,0,129.0219385,35.09709263
6345404,2017081,2826011000,230628002,인천 인천서부2,인천광역시 서구 석남동(SK테레콤 부근),4,4,0,3,1,0,126.6690257,37.51363113
6345615,2017081,2826011200,230628001,인천 인천서부1,인천광역시 서구 가좌동(서인천통일교회 부근),4,5,1,0,4,0,126.6785971,37.49330162
6345523,2017081,4161010800,131441003,경기 광주3,경기도 광주시 중대동(중대교 부근),4,4,1,1,2,0,127.2131226,37.40569887
6345645,2017081,4180025321,281241001,경기 연천1,경기도 연천군 전곡읍(서울장여관 부근),5,5,0,5,0,0,127.0688001,38.02494646
6345420,2017081,4119010800,132641001,경기 부천원미1,경기도 부천시 중동(먹거리삼거리 부근),9,9,0,3,6,0,126.7767131,37.50122909
6345496,2017081,4119011000,132341002,경기 부천소사2,경기도 부천시 소사본동(없음 인근),4,4,0,3,1,0,126.7929315,37.47870029
6345532,2017081,2620011500,120826001,부산 부산영도1,부산광역시 영도구 봉래동1가(대교사거리 부근),5,5,0,4,1,0,129.0401418,35.09304166
6345457,2017081,2623010400,121026001,부산 부산진1,부산광역시 부산진구 범천동(중앙시장 부근),5,5,0,4,1,0,129.0592161,35.14520573
6345386,2017081,2911013400,240229001,광주 광주동부1,광주광역시 동구 금남로4가(금남로4가역 부근),6,8,1,2,5,0,126.9147379,35.14961719
6345384,2017081,2914010400,240329002,광주 광주서부2,광주광역시 서구 양동(양유교종점 부근),4,4,1,2,1,0,126.9027298,35.15553802
6345592,2017081,4213010100,140442001,강원 원주1,강원도 원주시 중앙동(대림가구상사 부근),5,5,0,1,4,0,127.9478381,37.35302063
6345554,2017081,4215010800,140342001,강원 강릉1,강원도 강릉시 성남동(신흥종묘사 부근),5,5,1,1,3,0,128.9017012,37.75381751
6345445,2017081,4119510700,132641002,경기 부천원미2,경기도 부천시 원미구 역곡동(역곡남부역사거리 부근),6,7,0,2,4,1,126.8119487,37.48516983
6345447,2017081,4119510800,132641003,경기 부천원미3,경기도 부천시 원미구 중동(동아꿈마을10단지APT 부근),6,6,0,1,5,0,126.7807452,37.50063366
6345456,2017081,2623010400,121026002,부산 부산진2,부산광역시 부산진구 범천동(범2호교(동측) 부근),5,5,0,3,1,1,129.0637187,35.14297484
6345588,2017081,2626010200,120726003,부산 부산동래3,부산광역시 동래구 안락동(안락교(북측) 부근),4,4,0,3,1,0,129.1062172,35.19100121
6345559,2017081,2914011900,240329001,광주 광주서부1,광주광역시 서구 화정동(염주동사거리 부근),5,6,0,5,1,0,126.8744742,35.14260176
6345576,2017081,2915510300,240429003,광주 광주남부3,광주광역시 남구 서동(SK텔레콤 부근),4,4,0,2,2,0,126.9057746,35.14302877
6345534,2017081,4217010700,141942001,강원 동해1,강원도 동해시 동회동(양지식품청과 부근),5,6,0,1,4,1,129.1082945,37.48689426
6345381,2017081,4221010600,140542001,강원 속초1,강원도 속초시 교동(실매마차연수원 부근),5,5,0,1,3,1,128.5757683,38.20605914
6345321,2017081,3023011000,250530001,대전 대전대덕1,대전광역시 대덕구 비래동(동의당한의원 부근),5,5,0,2,3,0,127.449827,36.35532332
6345694,2017081,3023011500,250530002,대전 대전대덕2,대전광역시 대덕구 덕암동(상아치과 부근),4,4,1,1,2,0,127.4255857,36.44388347
6345667,2017081,2626010400,120726005,부산 부산동래5,부산광역시 동래구 낙민동(태명자원 부근),3,3,1,2,0,0,129.0963992,35.19445733
6345510,2017081,2626010600,120726002,부산 부산동래2,부산광역시 동래구 수안동(수양탕 부근),4,4,0,4,0,0,129.0861213,35.19708691
6345396,2017081,2915510500,240429001,광주 광주남부1,광주광역시 남구 백운동(광주백운동우체국 부근),5,5,1,1,3,0,126.9016264,35.13513505
6345556,2017081,2915510800,240429002,광주 광주남부2,광주광역시 남구 진월동(원앙다방 부근),5,5,0,4,1,0,126.898721,35.11763777
6345684,2017081,4311110600,151443002,충북 청주청남2,충청북도 청주시 상당구 남문로2가동(구남궁병원사거리 부근),5,6,0,0,6,0,127.4909064,36.63183575
6345473,2017081,4311210400,151443001,충북 청주청남1,충청북도 청주시 서원구 산남동(- 인근),5,5,0,4,1,0,127.4684254,36.61160403
6345522,2017081,4145010600,135241001,경기 하남1,경기도 하남시 신장동(신장사거리 부근),8,11,0,3,7,1,127.205028,37.53877943
6345524,2017081,4146110100,131741001,경기 용인동부1,경기도 용인시 처인구 김량장동(인현인쇄기획 부근),7,7,0,4,3,0,127.2039997,37.23510562
6345434,2017081,2626010800,120726004,부산 부산동래4,부산광역시 동래구 온천동(온천파출소A 부근),4,5,0,1,4,0,129.0822808,35.21842152
6345531,2017081,2626010900,120726001,부산 부산동래1,부산광역시 동래구 사직동(사직삼거리 부근),5,6,0,4,2,0,129.0644171,35.20224102
6345325,2017081,2817010800,230328004,인천 인천남부4,인천광역시 남구 관교동(삼환아파트 부근),4,4,0,3,1,0,126.6960397,37.4448029
6345311,2017081,2818510100,230928001,인천 인천연수1,인천광역시 연수구 옥련동(푸른의원 부근),5,5,0,3,1,1,126.6458825,37.42442803
6345328,2017081,4150010100,131341002,경기 이천2,경기도 이천시 창전동(창전사거리 부근),8,9,0,5,4,0,127.4470689,37.28439244
6345337,2017081,4155011700,131041001,경기 안성1,경기도 안성시 서인동((중앙로) 부근),6,7,1,3,3,0,127.2688899,37.0060148
6345525,2017081,4146310100,131741002,경기 용인동부2,경기도 용인시 기흥구 신갈동(상갈교사거리 부근),5,6,0,4,1,1,127.1056617,37.26994172
